vtkOriginalPointIds,Points:0,Points:1,Points:2
1,4.48759,-204.334,-1415.75
2,-64.24933861636272,-181.75844912331488,-1404.201117824151
3,-62.9956,-185.252,-1402.51
4,-43.243,-178.256,-1387.63
5,-34.4115,-144.192,-1466.61
6,-96.37763547182749,-166.06077696193026,-1377.361739770539
7,-108.575,-210.226,-1326.9
8,-41.4073,-68.354,-1325.9
9,-92.6209,-193.246,-1362.89
10,-64.4434,-122.359,-1357.44
11,-52.9101,-131.725,-1335.36
12,-59.7416,-120.76,-1379.39
13,-89.2263,-135.067,-1396
14,-72.6547,-144.504,-1423.58
15,-89.7352,-177.888,-1380.05
16,-46.78,-85.33,-1347.18
17,-65.01,-123.57,-1367.9
18,-57.5,-117.1,-1389
